CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.9963323425457112
C0001,C0152,0.9869046482018122
C0001,C0056,0.9304265739853477
C0002,C0029,0.9997577919968235
C0002,C0199,0.9993469209744867
C0002,C0010,0.9991818003638689
C0003,C0178,0.9999491872753427
C0003,C0112,0.999570425461454
C0003,C0131,0.9995698787270856
C0004,C0021,0.9999029227541466
C0004,C0075,0.999774867626502
C0004,C0108,0.9993154296151782
C0005,C0073,0.9999664651439709
C0005,C0144,0.9999535673904799
C0005,C0095,0.999946632236093
C0006,C0079,0.9998969172180884
C0006,C0117,0.9915523522623343
C0006,C0196,0.9545599462656269
C0007,C0085,0.9999761995718929
C0007,C0193,0.9993220044622224
C0007,C0120,0.9991928526246553
C0008,C0194,0.9993669805987332
C0008,C0179,0.9986864990487858
C0008,C0139,0.9976965787167642
C0009,C0077,0.9999358433247266
C0009,C0142,0.9996422140211864
C0009,C0032,0.9991462446506736
C0010,C0029,0.9998298903880369
C0010,C0025,0.9994906669506808
C0010,C0002,0.9991818003638689
C0011,C0183,0.994722607171387
C0011,C0048,0.9946779835821227
C0011,C0016,0.9932131637915763
C0012,C0102,0.9962450399402291
C0012,C0145,0.991152349898723
C0012,C0188,0.9898164696443068
C0013,C0045,0.9999912959125381
C0013,C0153,0.9997485587226153
C0013,C0059,0.9997185548987123
C0014,C0015,0.9999527058752842
C0014,C0058,0.9999345950947911
C0014,C0151,0.9999059818196547
C0015,C0058,0.9999848310059165
C0015,C0131,0.9999538103963201
C0015,C0014,0.9999527058752842
C0016,C0048,0.9999108050862925
C0016,C0183,0.9999049142743388
C0016,C0064,0.9979477170891812
C0017,C0162,0.9999312713015618
C0017,C0124,0.9996520686321231
C0017,C0090,0.9973909970658704
C0018,C0200,0.999999182192138
C0018,C0170,0.9999735409457393
C0018,C0182,0.999956358653078
C0019,C0172,0.9999805686568761
C0019,C0116,0.9605762021423147
C0019,C0034,0.8817294069115329
C0020,C0110,0.999994691081227
C0020,C0078,0.9999277519578567
C0020,C0080,0.9999018854141536
